REJECTION,PARTY,TYPE,PRECINCT
RECEIVED TOO LATE,NPP,VOTE BY MAIL,102003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117112
RECEIVED TOO LATE,PF,VOTE BY MAIL,124001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117074
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117006
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117090
RECEIVED TOO LATE,NPP,VOTE BY MAIL,114001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,119001
RECEIVED TOO LATE,REP,VOTE BY MAIL,117072
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117088
RECEIVED TOO LATE,DEM,VOTE BY MAIL,108002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,108002
NO VOTER SIGNATURE,DEM,VOTE BY MAIL,117112
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,117088
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124003
RECEIVED TOO LATE,REP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117074
RECEIVED TOO LATE,REP,VOTE BY MAIL,107010
RECEIVED TOO LATE,NPP,VOTE BY MAIL,124003
RECEIVED TOO LATE,REP,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,114001
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,103004
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,112005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117005
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117038
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117038
RECEIVED TOO LATE,DEM,VOTE BY MAIL,106009
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,124005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,106009
RECEIVED TOO LATE,REP,VOTE BY MAIL,119001
RECEIVED TOO LATE,REP,VOTE BY MAIL,103010
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,126008
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103010
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,128022
RECEIVED TOO LATE,REP,VOTE BY MAIL,129001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,121009
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,115001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,121009
RECEIVED TOO LATE,REP,VOTE BY MAIL,117011
RECEIVED TOO LATE,AI,VOTE BY MAIL,106009
RECEIVED TOO LATE,REP,VOTE BY MAIL,115001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,101001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,121003
RECEIVED TOO LATE,NPP,VOTE BY MAIL,126002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103010
RECEIVED TOO LATE,REP,VOTE BY MAIL,117058
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117091
NO VOTER SIGNATURE,DEM,VOTE BY MAIL,103002
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117058
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,107010
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103008
RECEIVED TOO LATE,REP,VOTE BY MAIL,105002
RECEIVED TOO LATE,REP,VOTE BY MAIL,105002
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128008
RECEIVED TOO LATE,GRN,VOTE BY MAIL,128002
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117088
RECEIVED TOO LATE,REP,VOTE BY MAIL,105002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117088
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128005
RECEIVED TOO LATE,NPP,VOTE BY MAIL,126001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,114001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,108002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117014
RECEIVED TOO LATE,DEM,VOTE BY MAIL,119001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117112
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117112
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117010
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117004
RECEIVED TOO LATE,REP,VOTE BY MAIL,117014
RECEIVED TOO LATE,REP,VOTE BY MAIL,117014
RECEIVED TOO LATE,AI,VOTE BY MAIL,117088
RECEIVED TOO LATE,NPP,VOTE BY MAIL,126001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117058
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,119001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,110001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,107005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128015
RECEIVED TOO LATE,REP,VOTE BY MAIL,129001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,114001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124005
RECEIVED TOO LATE,REP,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117074
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
NON-MATCHING SIGNATURE,GRN,VOTE BY MAIL,117047
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,121003
RECEIVED TOO LATE,REP,VOTE BY MAIL,117029
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,114001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103008
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117090
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117047
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,126001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117090
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124003
RECEIVED TOO LATE,REP,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117021
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124001
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,115001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,109004
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,121009
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128013
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117010
RECEIVED TOO LATE,REP,VOTE BY MAIL,117062
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,109004
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,110008
RECEIVED TOO LATE,REP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117038
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117059
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117072
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,109004
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128028
RECEIVED TOO LATE,AI,VOTE BY MAIL,119001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,126001
RECEIVED TOO LATE,REP,VOTE BY MAIL,104001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117091
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,117090
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128028
RECEIVED TOO LATE,REP,VOTE BY MAIL,117009
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,110001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,126001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117088
RECEIVED TOO LATE,REP,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,105002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128015
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,102003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103004
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117080
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,117112
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117009
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,105002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117009
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117088
RECEIVED TOO LATE,REP,VOTE BY MAIL,126008
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117038
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
RECEIVED TOO LATE,AI,VOTE BY MAIL,128002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,126001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117080
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117006
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,107005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,114001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,126001
RECEIVED TOO LATE,REP,VOTE BY MAIL,124001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117011
RECEIVED TOO LATE,PF,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128028
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,113002
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,106001
RECEIVED TOO LATE,REP,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117072
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,126002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,126001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128013
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117072
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103009
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128005
RECEIVED TOO LATE,REP,VOTE BY MAIL,128013
RECEIVED TOO LATE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117009
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117112
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,102003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117011
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,121009
RECEIVED TOO LATE,NPP,VOTE BY MAIL,126001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117072
RECEIVED TOO LATE,REP,VOTE BY MAIL,117062
RECEIVED TOO LATE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117011
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,102007
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117007
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,128001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117021
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,108004
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117104
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,107005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,103010
RECEIVED TOO LATE,NPP,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,117088
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117072
RECEIVED TOO LATE,DEM,VOTE BY MAIL,126008
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124001
RECEIVED TOO LATE,REP,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128015
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117104
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117104
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,124005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117088
NON-MATCHING SIGNATURE,LIB,VOTE BY MAIL,117021
RECEIVED TOO LATE,REP,VOTE BY MAIL,117088
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,129001
RECEIVED TOO LATE,REP,VOTE BY MAIL,132002
RECEIVED TOO LATE,REP,VOTE BY MAIL,113002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117047
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117072
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,119001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117112
RECEIVED TOO LATE,NPP,VOTE BY MAIL,115001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128013
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,102003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,126001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,105002
RECEIVED TOO LATE,NPP,VOTE BY MAIL,121009
RECEIVED TOO LATE,AI,VOTE BY MAIL,110008
RECEIVED TOO LATE,REP,VOTE BY MAIL,117112
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128013
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,103008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,107005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117005
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,124003
RECEIVED TOO LATE,NPP,VOTE BY MAIL,123001
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,105002
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128028
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,117029
RECEIVED TOO LATE,DEM,VOTE BY MAIL,119001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,123001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,126001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,108002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117074
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117029
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,102001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128005
RECEIVED TOO LATE,REP,VOTE BY MAIL,108002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117010
RECEIVED TOO LATE,GRN,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,119001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117104
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117038
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,124005
RECEIVED TOO LATE,LIB,VOTE BY MAIL,124003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128013
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103002
RECEIVED TOO LATE,REP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117059
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117080
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117009
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,124003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117038
RECEIVED TOO LATE,AI,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117014
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117004
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,124003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,126002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,108004
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128007
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,126001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117047
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117058
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117062
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117088
RECEIVED TOO LATE,REP,VOTE BY MAIL,117001
NON-MATCHING SIGNATURE,PF,VOTE BY MAIL,121009
RECEIVED TOO LATE,NPP,VOTE BY MAIL,129001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,103010
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,126008
RECEIVED TOO LATE,REP,VOTE BY MAIL,117021
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117088
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,102007
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117006
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128022
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,101003
RECEIVED TOO LATE,AI,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,103005
RECEIVED TOO LATE,NPP,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,107005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,114001
RECEIVED TOO LATE,REP,VOTE BY MAIL,128005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,126001
RECEIVED TOO LATE,NPP,VOTE BY MAIL,124003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,121003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117058
RECEIVED TOO LATE,DEM,VOTE BY MAIL,106009
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,108002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,126008
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,121001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117009
RECEIVED TOO LATE,NPP,VOTE BY MAIL,112005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117074
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,103010
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117029
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128002
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,129001
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,LIB,VOTE BY MAIL,110008
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117006
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117062
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128013
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,124001
RECEIVED TOO LATE,LIB,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,110008
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117004
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,126002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,114001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,128002
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117004
RECEIVED TOO LATE,DEM,VOTE BY MAIL,106001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,114001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,106009
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128022
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,117072
RECEIVED TOO LATE,REP,VOTE BY MAIL,117072
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,115001
RECEIVED TOO LATE,LIB,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,103008
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,114001
RECEIVED TOO LATE,REP,VOTE BY MAIL,115001
RECEIVED TOO LATE,REP,VOTE BY MAIL,108002
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128015
RECEIVED TOO LATE,NPP,VOTE BY MAIL,121001
RECEIVED TOO LATE,AI,VOTE BY MAIL,103005
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,129001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117091
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117059
RECEIVED TOO LATE,NPP,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117047
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117088
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117014
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117090
RECEIVED TOO LATE,REP,VOTE BY MAIL,106009
RECEIVED TOO LATE,REP,VOTE BY MAIL,117009
RECEIVED TOO LATE,REP,VOTE BY MAIL,128008
RECEIVED TOO LATE,DEM,VOTE BY MAIL,106009
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,102003
NON-MATCHING SIGNATURE,AI,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,121003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117006
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117029
RECEIVED TOO LATE,DEM,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117090
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117021
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117038
RECEIVED TOO LATE,REP,VOTE BY MAIL,117047
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,110008
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117072
RECEIVED TOO LATE,REP,VOTE BY MAIL,103004
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,124003
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128022
RECEIVED TOO LATE,REP,VOTE BY MAIL,128028
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,101001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128008
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,128022
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,102003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,124001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117011
RECEIVED TOO LATE,NPP,VOTE BY MAIL,128013
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128028
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117072
RECEIVED TOO LATE,NPP,VOTE BY MAIL,124001
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,121001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117006
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117029
RECEIVED TOO LATE,REP,VOTE BY MAIL,124001
RECEIVED TOO LATE,REP,VOTE BY MAIL,128013
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117009
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117064
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,103010
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,117112
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,124005
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,132002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117003
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128015
RECEIVED TOO LATE,REP,VOTE BY MAIL,112005
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,128005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,107010
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117004
RECEIVED TOO LATE,REP,VOTE BY MAIL,101001
RECEIVED TOO LATE,AI,VOTE BY MAIL,128005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117064
RECEIVED TOO LATE,REP,VOTE BY MAIL,117074
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,103009
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128001
